cdp,resultado,detalle,orden,start_datetime,end_datetime,duracion,pais,url,rut,sku_inicial,sku,medio,navegador,formato
E2E_CHECKOUT_PREP_F10,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-06T16:00:57-04:00,2021-05-06T16:01:24-04:00,27,cl,https://Simple:acidO@preprod.ripley.cl,58540501,No se busco sku,No se busco sku,tarjeta_debito,chrome,web
E2E_CHECKOUT_PREP_F01,Fail,Página de Despacho no muestra disponibilidad de agenda,No se obtiene numero de orden,2021-05-06T16:16:44-04:00,2021-05-06T16:19:45-04:00,180,cl,https://Simple:acidO@preprod.ripley.cl,85449397,2000303476012,2000303476012,tarjeta_ripley,chrome,web
SIMPLE_F12_TC104,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-07T14:16:32-04:00,2021-05-07T14:17:14-04:00,42,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
SIMPLE_F12_TC104,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-07T14:17:38-04:00,2021-05-07T14:18:35-04:00,57,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,mobile
SIMPLE_F12_TC104,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-07T14:18:48-04:00,2021-05-07T14:19:01-04:00,13,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,mobile
SIMPLE_F12_TC104,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-07T14:38:36-04:00,2021-05-07T14:39:22-04:00,45,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,mobile
SIMPLE_F12_TC104,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-07T16:17:30-04:00,2021-05-07T16:18:10-04:00,40,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
SIMPLE_F12_TC104,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-07T16:18:30-04:00,2021-05-07T16:19:08-04:00,37,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,mobile
SIMPLE_F12_TC104,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-07T16:23:57-04:00,2021-05-07T16:24:40-04:00,42,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,mobile
RPHONE_F001_TC002,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-13T14:00:18-04:00,2021-05-13T14:00:32-04:00,13,cl,https://rphone-prd.web.app/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
RPHONE_F001_TC002,Fail,Home no se muestra,No se obtiene numero de orden,2021-05-13T14:03:34-04:00,2021-05-13T14:04:41-04:00,67,cl,https://spobletej@ripley.com:rphone2021@staging.ripley.cl/rphone/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
RPHONE_F001_TC002,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-13T14:09:44-04:00,2021-05-13T14:10:52-04:00,67,cl,https://spobletej@ripley.com:rphone2021@staging.ripley.cl/rphone/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
RPHONE_F001_TC002,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-05-13T14:15:15-04:00,2021-05-13T14:16:26-04:00,70,cl,https://spobletej@ripley.com:rphone2021@staging.ripley.cl/rphone/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
RPHONE_F001_TC002,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-05-13T14:22:23-04:00,2021-05-13T14:22:33-04:00,9,cl,https://spobletej@ripley.com:rphone2021@staging.ripley.cl/rphone/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
RPHONE_F001_TC002,Fail,No se muestra el catalogo de productos de Rphone,No se obtiene numero de orden,2021-05-13T14:22:46-04:00,2021-05-13T14:23:50-04:00,64,cl,https://spobletej@ripley.com:rphone2021@staging.ripley.cl/rphone/,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:06:19-04:00,2021-06-14T17:06:28-04:00,8,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:09:46-04:00,2021-06-14T17:09:53-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:12:54-04:00,2021-06-14T17:13:02-04:00,7,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:24:28-04:00,2021-06-14T17:24:35-04:00,7,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:25:08-04:00,2021-06-14T17:25:15-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:27:02-04:00,2021-06-14T17:27:09-04:00,7,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:33:26-04:00,2021-06-14T17:33:33-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:37:25-04:00,2021-06-14T17:37:32-04:00,7,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:38:32-04:00,2021-06-14T17:38:39-04:00,7,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:39:04-04:00,2021-06-14T17:39:11-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:43:44-04:00,2021-06-14T17:43:51-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:44:22-04:00,2021-06-14T17:44:29-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:45:13-04:00,2021-06-14T17:45:20-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_TEST_QMETRY_01,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-06-14T17:49:22-04:00,2021-06-14T17:49:29-04:00,6,cl,https://simple.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
Nul,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-06-29T17:49:33-04:00,2021-06-29T17:49:37-04:00,4,Nil,Nil,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
SIMPLE_F95_TC741,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-06-29T17:49:54-04:00,2021-06-29T17:50:32-04:00,38,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,firefox,web
SIMPLE_F95_TC741,Fail,Se desconoce causa de Fallo,No se obtiene numero de orden,2021-06-29T17:50:40-04:00,2021-06-29T17:50:58-04:00,18,cl,Nil,No se realizo login,No se busco sku,No se busco sku,No se realizo pago,chrome,web
SIMPLE_F01_TC-1,Pass,Caso de Prueba Exitoso,No se obtiene numero de orden,2021-07-07T10:17:47-04:00,2021-07-07T10:18:11-04:00,24,cl,https://rfernandezm@ripley.com:Ripley2020@staging.ripley.cl,No se realizo login,2000371629273,No se busco sku,No se realizo pago,RemoteFirefox,web
